Phe,random_id,fnumber,cvid,pearson
DTT,Random_0,4000,cv6,0.557249824872023
DTT,Random_0,4000,cv7,0.638852679941386
DTT,Random_0,4000,cv9,0.55971495204938
DTT,Random_0,4000,cv8,0.624604400798342
DTT,Random_0,4000,cv10,0.587065039024969
DTT,Random_0,4000,cv11,0.565381434650727
DTT,Random_0,4000,cv12,0.655327919268928
DTT,Random_0,4000,cv13,0.637659994106836
DTT,Random_0,4000,cv14,0.65854038198314
DTT,Random_0,4000,cv15,0.584372817650673
DTT,Random_0,4000,cv16,0.662806391518379
DTT,Random_0,4000,cv17,0.588769027963003
DTT,Random_0,4000,cv18,0.605811882889172
DTT,Random_0,4000,cv19,0.540827505333154
DTT,Random_0,4000,cv20,0.64570835500433
DTT,Random_0,4000,cv21,0.583131225287916
DTT,Random_0,4000,cv22,0.627679173313391
DTT,Random_0,4000,cv23,0.596031368689807
DTT,Random_0,4000,cv24,0.583302040894067
DTT,Random_0,4000,cv25,0.609012210061388
DTT,Random_0,4000,cv26,0.597131392308099
DTT,Random_0,4000,cv27,0.588241099283563
DTT,Random_0,4000,cv28,0.619665221219896
DTT,Random_0,4000,cv29,0.634367127250983
DTT,Random_1,12,cv0,0.293698294274789
DTT,Random_1,12,cv2,0.238944802983001
DTT,Random_1,12,cv1,0.286689732644015
DTT,Random_1,12,cv3,0.33724370608616
DTT,Random_1,12,cv4,0.221480982166684
DTT,Random_1,12,cv5,0.254876280924108
DTT,Random_1,12,cv6,0.235732297006663
DTT,Random_1,12,cv8,0.245642200978426
DTT,Random_1,12,cv10,0.353915352922458
DTT,Random_1,12,cv9,0.126241394332817
DTT,Random_1,12,cv11,0.327007517184068
DTT,Random_1,12,cv12,0.213146329469295
DTT,Random_1,12,cv13,0.31625037174588
DTT,Random_1,12,cv14,0.260492036925417
DTT,Random_1,12,cv7,0.351280082927587
DTT,Random_1,12,cv15,0.208464145091709
DTT,Random_1,12,cv17,0.18533255671546
